batter,hand,batter_xwoba,pitcher_xwoba_allowed,matchup_xwoba,matchup_k_pct,edge,vs_pitcher
W1 (R),R,0.322,0.343,0.354,0.306,-0.042,Wild Lefty (demo)
W2 (R),R,0.322,0.343,0.354,0.255,-0.042,Wild Lefty (demo)
G1 Star (L),L,0.371,0.288,0.345,0.301,-0.033,Ace Righty (demo)
W4 (R),R,0.301,0.343,0.332,0.337,-0.02,Wild Lefty (demo)
W5 (R),R,0.301,0.343,0.332,0.344,-0.02,Wild Lefty (demo)
W7 (R),R,0.301,0.343,0.332,0.367,-0.02,Wild Lefty (demo)
W8 (R),R,0.301,0.343,0.332,0.255,-0.02,Wild Lefty (demo)
W9 (R),R,0.301,0.343,0.332,0.377,-0.02,Wild Lefty (demo)
W3 (L),L,0.322,0.319,0.329,0.255,-0.017,Wild Lefty (demo)
W6 (S),R,0.299,0.343,0.329,0.255,-0.017,Wild Lefty (demo)
G2 (L),L,0.343,0.288,0.318,0.301,-0.006,Ace Righty (demo)
G4 (L),L,0.343,0.288,0.318,0.301,-0.006,Ace Righty (demo)
G3 (S),L,0.339,0.288,0.314,0.301,-0.002,Ace Righty (demo)
G6 (L),L,0.323,0.288,0.299,0.382,0.013,Ace Righty (demo)
G7 (L),L,0.323,0.288,0.299,0.301,0.013,Ace Righty (demo)
G9 (L),L,0.3,0.288,0.277,0.301,0.035,Ace Righty (demo)
G5 (R),R,0.303,0.266,0.258,0.301,0.054,Ace Righty (demo)
G8 (R),R,0.28,0.266,0.237,0.406,0.075,Ace Righty (demo)
